"","id","converted_sample_01.fasta.fq_kallisto","converted_sample_02.fasta.fq_kallisto","converted_sample_03.fasta.fq_kallisto","converted_sample_04.fasta.fq_kallisto","converted_sample_05.fasta.fq_kallisto","converted_sample_06.fasta.fq_kallisto","converted_sample_07.fasta.fq_kallisto","converted_sample_08.fasta.fq_kallisto","converted_sample_09.fasta.fq_kallisto","converted_sample_10.fasta.fq_kallisto","converted_sample_11.fasta.fq_kallisto","converted_sample_12.fasta.fq_kallisto","converted_sample_13.fasta.fq_kallisto","converted_sample_14.fasta.fq_kallisto","converted_sample_15.fasta.fq_kallisto","converted_sample_16.fasta.fq_kallisto"
"100515","ENST00000433728.5",15.5416,0,0,0,0,0,0,0,0,0,0,0,0,16.0997,0,0
"100516","ENST00000403642.5",0,0,0,14.8258,0,0,0,0,0,0,0,0,0,12.945,0,0
"100517","ENST00000402731.5",10.8493,0,0.000500175,0.352301,0.0125874,5.66285e-06,8.98668,3.7878e-06,8.81582,0,6.40551e-06,0.000104351,6.13908,12.9397,0.000286386,3.34928e-07
"100518","ENST00000447421.5",0,0,0,0,0,0,0,0,0,0,4.43311,0,0,0,0,0
"100520","ENST00000464581.5",0,0,0,0,0,2.08301,4.31236e-06,0,0,0,0,0,0,5.3393,0,0
"100521","ENST00000491919.5",0,0,0,0,0,0,0,2.04974,0,0,0,0,0,0,0,0
"100522","ENST00000425190.6",0,0,0,0,1.57325e-05,0,0,0,0,4.68852,0,0,0,9.74576e-05,0,0
"100524","ENST00000439200.5",5.70268,0,0,0,0,7.19759,0,5.94192,4.42728,0,0,0,0,0,0,7.18026
"100526","ENST00000398017.2",0,0,0,0,0,0,0,0,0,0,0,3.91408,0,0,0,0
"100527","ENST00000348295.7",370.277,281.284,436.726,430.914,380.107,365.896,413.541,212.614,334.799,377.557,319.857,426.129,430.658,405.572,373.864,401.715
"100528","ENST00000382565.5",11.0176,5.1751e-07,0,17.3005,0,29.0029,11.0476,52.6113,21.8175,51.0321,78.5936,53.4969,31.1218,27.2284,37.7918,38.5456
"100816","ENST00000400331.9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"100878","ENST00000519254.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"100941","ENST00000350274.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101000","ENST00000506502.2",0,0,1,0,0,0,0,2.29623,2.73027,1.64535,1.2312,1.2312,2.4624,2.74852,1.2312,3.69361
"101043","ENST00000579489.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"101097","ENST00000417145.2",56.3202,44.0308,35.8099,43.2599,60.992,67.8744,41.6694,12.5774,67.5837,41.6503,50.1838,3.88101,31.0599,39.8772,45.8603,51.6604
"101098","ENST00000480559.5",110.842,89.3186,98.3869,74.8082,83.3405,104.546,112.472,96.1487,107.018,99.4616,71.5074,101.145,81.1825,82.587,111.679,82.9223
"101101","ENST00000613850.4",0,14.4207,15.0069,0,0,0,12.9882,40.5791,0,22.0805,0,79.4051,25.3783,18.379,0,0
"101314","ENST00000490113.1",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"101318","ENST00000479197.1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.00023,0
"101516","ENST00000396444.7",2.00081,3.00026,6.12512,5.00201,7.00083,2.00025,4.00101,3.00004,3.00019,2.02322,5.00066,3.00018,3.00006,5.00098,4.40393,1.37722
"101773","ENST00000483921.1",7.89764,2.15041,4.65658,3.88498,1.64499,0,3.47469,1.7962,0.129118,2.85041,0,0,0,0,0,2.82536
"102025","ENST00000482875.5",0,0,0,0,0,0,1.07284,0,0,0,0,0,0,0,0,0
