"","id","converted_sample_01.fasta.fq_quant","converted_sample_02.fasta.fq_quant","converted_sample_03.fasta.fq_quant","converted_sample_04.fasta.fq_quant","converted_sample_05.fasta.fq_quant","converted_sample_06.fasta.fq_quant","converted_sample_07.fasta.fq_quant","converted_sample_08.fasta.fq_quant","converted_sample_09.fasta.fq_quant","converted_sample_10.fasta.fq_quant","converted_sample_11.fasta.fq_quant","converted_sample_12.fasta.fq_quant","converted_sample_13.fasta.fq_quant","converted_sample_14.fasta.fq_quant","converted_sample_15.fasta.fq_quant","converted_sample_16.fasta.fq_quant"
"66538","ENST00000424232.5",0,0,0,0,0,0,0,0,0,0,0,2.44783e-05,0,0,0,0
"66543","ENST00000337539.11",266.149,369.557,354.65,398.985,354.653,354.759,444.147,339.874,458.302,472.868,292.352,413.758,381.356,552.155,414.122,472.729
"66544","ENST00000496497.1",0,0,0,0,0,0,0,0,0,0,15.6607,0,17.7027,16.024,0,0.425443
"66545","ENST00000472248.5",0,0,0,0,0,0,0,0,0,0,0,0,0,2.28268,0,0
"66546","ENST00000436735.1",44.9441,43.1045,68.6856,49.3082,73.2316,38.3529,45.6558,46.0856,54.1894,54.8024,42.1074,57.5483,54.8236,37.4545,54.1365,47.124
"66548","ENST00000610595.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.427464,0,0
"66549","ENST00000618076.3",11.0154,2.80088,0.000365307,0.0160011,0.0134205,55.9514,16.919,0.00373929,0.887963,0.000276966,0.646556,2.40321e-05,0.166917,0.000386215,5.47234,0
"66550","ENST00000611543.4",279.827,262.538,385.664,271.691,260.516,220.33,98.2783,272.697,121.597,91.3293,186.234,164.694,109.394,51.728,157.269,127.722
"66604","ENST00000586658.1",0,0,0,0,0,0,0,0,0,1.0242,0,0,0,0,0,0
"66738","ENST00000411939.5",0,0,0,0,0,0,0,0,0,0,0,0,1.00032,0,0,0
"66772","ENST00000507959.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66811","ENST00000285274.9",0,0,3,0,0,0,0,0.999999,0,0,1,1,0,0,0,0
"67006","ENST00000491193.1",0,0.829128,0,0,0,0,0,0,0,0,1.02452,0,0,0,0,0
"67020","ENST00000367996.5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"67302","ENST00000569421.2",0,0,0,0,0,0,0,0,0,0,0,0.952102,0,0,0,0
"67306","ENST00000491995.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"67350","ENST00000625566.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"67564","ENST00000558910.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596905,0
"67741","ENST00000534259.1",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"67902","ENST00000521580.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"68234","ENST00000415388.5",99.337,67.1852,95.7856,93.8267,101.588,65.5844,77.1185,71.048,53.0303,44.5106,61.0916,51.7842,54.0085,45.3657,35.0825,39.4306
"68235","ENST00000326010.9",438.663,360.815,396.214,413.173,369.412,377.416,409.882,386.952,352.97,450.489,351.908,340.216,391.991,360.634,400.918,404.569
"68354","ENST00000332644.5",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"68419","ENST00000441801.6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"68460","ENST00000595501.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68575","ENST00000625945.1",2.11341,0,0,0,0,1.4111,0,2.19011,1.54379,0,2.20183,1.25787,0,0,0,0
"68576","ENST00000607293.3",67.2169,63.3075,72.8365,77.8225,68.8963,60.0892,69.0824,62.757,59.4073,82.7176,83.2314,64.075,67.9448,76.0196,93.0871,64.7779
"68849","ENST00000402077.7",277.458,339.984,263.241,322.334,360.826,313.374,249.421,348.49,256.781,305.913,315.234,328.03,252.157,308.543,249.333,314.896
"68850","ENST00000403888.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74747,0
"68851","ENST00000421900.5",0,0,0,0,8.13898e-06,5.18135,1.99657,1.23882,0,0.000237171,0,9.21611,0.805259,0,0,0
"68852","ENST00000456470.1",0.000134692,6.66774e-05,31.4816,13.2594,0,0,28.5589,0,25.6759,19.6835,0,0,0,0.169326,22.5878,0
"68853","ENST00000483389.5",0,0,0,0,0,0,10.1446,0,0,24.3219,0,0,0,0,0,1.56705
"68855","ENST00000478231.5",23.542,29.0163,26.2774,34.4061,45.1743,43.445,39.8789,37.2716,35.5432,30.081,31.766,23.7535,24.0382,10.2874,38.3318,7.53707
"68873","ENST00000557252.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68918","ENST00000586409.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"68924","ENST00000432134.6",0,0,0,0,0,0,0,0,0,0,0,0,7.38602,0,0,0
"68926","ENST00000456153.5",0,0,0,0,0,0,0,0,0,0,0,0,0,2.08311,0,0
"68931","ENST00000425458.5",0,0,2.03523,0,0,0,0,0,0,0,0,0,0,0,0,0
"68932","ENST00000446867.5",0,0,0,0,0,2.4691,0,0,0,0,0,0,0,0,0,0
"68933","ENST00000621561.4",216.973,299.349,244.586,223.291,319.617,219.008,174.4,221.869,210.878,230.732,289.989,199.706,277.242,156.094,214.609,263.603
"68935","ENST00000536718.2",0,3.54186,10.8729,0,0,4.75593e-05,9.80499,1.8554,7.45628,0,11.2495,12.2139,7.80656,14.772,7.48283e-07,0
"68981","ENST00000307564.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"69047","ENST00000463378.5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"69304","ENST00000381799.9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"69387","ENST00000520335.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"69459","ENST00000467834.5",0,0,0,0,0.528885,0,0,0,0,0,0,0,0,0,0,0
"69640","ENST00000334678.7",199.092,170,220,181,177,169,206,267,199,161,160,167,151,206,167,196
"69642","ENST00000420879.5",4.90757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69734","ENST00000358654.2",0,0,0,0,7.12122,7.17803,0,14.5964,0,0,0,0,6.87827,8.0609,0,0
"69775","ENST00000216160.10",638.203,601.192,600.566,631.81,561.465,585.041,612.802,658.431,625.441,650.501,715.814,543.045,659.098,575.972,652.638,628.815
"69776","ENST00000473613.5",3.34742,0,0,0,9.4349,0,6.97382,0,0,0,0,0,0,0,8.12685,0
"69777","ENST00000331454.3",182.092,228.995,211.203,271.697,188.191,263.086,280.102,214.275,219.908,247.661,214.02,280.756,240.211,283.026,250.631,233.293
"69779","ENST00000490819.1",35.0497,44.6876,32.9102,44.9841,39.4207,33.3619,21.9911,46.5361,34.6585,35.1713,39.2057,35.3885,50.213,34.1692,42.1223,38.4741
"69780","ENST00000473491.1",56.6418,32.8642,51.0304,47.4644,60.5837,57.9138,42.8298,34.0288,67.3197,58.2015,57.8463,43.2664,52.9825,48.1623,61.285,62.8697
"69781","ENST00000488859.1",250.666,196.261,241.291,232.044,263.905,246.598,211.301,231.729,280.673,269.465,257.115,277.544,280.496,225.671,275.197,265.548
"70109","ENST00000406477.7",298.286,263.756,317.827,301.604,244.275,330.593,261.936,176.273,292.62,316.063,284.456,239.075,283.809,321.596,240.504,354.869
"70110","ENST00000338758.11",15.7457,14.3221,14.3285,21.5123,15.4698,11.4745,18.6163,14.2836,17.1388,21.3676,24.2183,23.1575,32.9499,27.2618,11.495,24.3006
"70111","ENST00000402876.3",29.4279,30.1995,25.0482,44.9284,29.9109,29.0631,35.0674,31.7071,40.5643,29.7879,38.922,34.6174,34.7295,38.8756,47.2602,27.7302
"70113","ENST00000404989.1",523.959,635.015,501.108,462.33,520.834,387.34,468.741,535.738,476.086,498.307,459.77,510.837,416.491,469.644,545.353,479.587
"70114","ENST00000477795.1",0,0,0,0,0,0,0,0,0,0,0,0,1.04917,1.05655,0,0
"70117","ENST00000477438.1",59.8663,67.896,36.6366,60.1211,49.0944,28.8971,64.6999,58.657,77.4318,48.4764,63.3597,32.6335,56.1806,49.9321,57.6775,29.4195
"70118","ENST00000619710.4",473.715,398.812,458.052,478.504,369.224,525.632,458.939,451.342,487.16,431.998,441.274,440.68,443.74,491.633,408.711,488.094
"70233","ENST00000358321.3",590,674,690,623,644,644,662.527,643,665,560,699,654,615.562,653,650,723
"70234","ENST00000463101.1",0,0,0,0,0,0,2.47321,0,0,0,0,0,2.43771,0,0,0
"70253","ENST00000394718.4",0,0,0,0,0,0,0,0,0,0,1.00078,0,0,0,0,0
"70416","ENST00000307194.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70443","ENST00000396821.7",1769.88,1736.31,1805.99,1722.92,1722.67,1741.92,1675.31,1792.68,1752.16,1757.94,1864.99,1796.84,1636.39,1782.37,1771.62,1794.79
"70446","ENST00000403230.1",0.000692428,0.337136,1.43236,0.00105269,1.30223e-08,0.00387644,0.00111733,0.000597642,3.76461e-05,0.00039835,0.281405,0,0.0195963,2.93799e-05,2.7338e-06,4.67404e-07
"70447","ENST00000475004.6",0,0,0,0,2.21303,0,1.11081,0,0,0,0,0,0,0,0,0
"70452","ENST00000479734.1",5.10743,9.32374,20.0251,6.76397,0,0,0.000171613,3.09669,0,0,0,12.4173,2.7342,3.11102,23.5317,0
"70453","ENST00000640332.1",193.014,222.032,173.548,172.31,177.116,185.08,175.581,156.227,240.84,219.059,179.727,153.738,136.856,213.521,229.851,226.209
"70460","ENST00000417669.6",11.369,2.81102,8.42605,14.2278,0,11.1999,2.82671,2.86644,5.57058,8.59289,0,14.059,5.54817,11.0862,0,5.57525
"70461","ENST00000334209.9",18.6654,46.333,33.1396,25.587,10.8525,28.9334,18.2565,31.6364,25.9088,5.00274,3.67481,19.445,16.6037,22.0097,39.9403,38.1348
"70465","ENST00000443721.1",517.966,409.856,523.434,537.185,584.148,509.867,484.917,597.497,499.521,476.404,524.325,450.496,433.848,502.904,475.06,457.29
"70541","ENST00000587642.5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
