"","id","converted_sample_01.fasta.fq_quant","converted_sample_02.fasta.fq_quant","converted_sample_03.fasta.fq_quant","converted_sample_04.fasta.fq_quant","converted_sample_05.fasta.fq_quant","converted_sample_06.fasta.fq_quant","converted_sample_07.fasta.fq_quant","converted_sample_08.fasta.fq_quant","converted_sample_09.fasta.fq_quant","converted_sample_10.fasta.fq_quant","converted_sample_11.fasta.fq_quant","converted_sample_12.fasta.fq_quant","converted_sample_13.fasta.fq_quant","converted_sample_14.fasta.fq_quant","converted_sample_15.fasta.fq_quant","converted_sample_16.fasta.fq_quant"
"237","ENST00000493176.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"246","ENST00000435688.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"296","ENST00000402588.6",0,0,0,0,4.64976e-07,0,0,0,0,0,0,0,0,0,0,0
"297","ENST00000634759.1",0,0,0,0,3.86593,0,3.58563,0,0,0,0,0,0,0,0,0
"298","ENST00000621118.4",0,0,0,0,0,0,0,0,4.75811,0,0,0,0,0,0,0
"333","ENST00000573762.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"340","ENST00000618719.2",0,0,0,0,0,0.0888453,0,0.000293132,0,0,1.56312,3.85063,0,0,0,0
"341","ENST00000629682.2",305.627,336.382,218.652,246.05,267.761,188.139,277.572,326.257,270,274.098,299.507,313.126,355.155,292.243,244.778,262.288
"342","ENST00000620741.3",10.9244,0,52.9283,52.3977,26.827,0,13.5269,42.0861,22.2413,16.4414,24.2574,15.4798,28.7461,21.2246,18.8289,30.9979
"345","ENST00000628872.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"346","ENST00000617651.4",0,0,0,0,0,0,0,0,0,3.11884,0,2.4421,0,0,0,0
"347","ENST00000616376.1",0,8.48938,0,0,0,26.9826,0,0,0,6.9901,0,12.9114,0,0,0,0
"389","ENST00000634782.1",0,0,0,0,0,0,0,0,0,9.7592e-07,0.000209954,0,0,0,0,0
"390","ENST00000634785.1",0,0,3.55904,0,0,0,0,0,0,0,0,0,0,4.78055,0,0
"394","ENST00000634356.1",3.62083,2.71609,0.0799994,1.46786,1.87929,1.74724,6.99652,5.26041,4.50692,2.77056,4.31631,5.77112,4.91178,3.90093,7.03409,3.65116
"395","ENST00000635668.1",0,0,0,0,0,0,0,0,0,5.25135,0,0,0,0,0,0
"425","ENST00000390320.2",4.32739,8.02002,6.7648,1.81079,6.92546,10.0403,8.88102,6.97392,5.31126,8.63046,7.33903,4.64504,6.2819,10.512,4.60488,8.4274
"471","ENST00000390321.2",76.5195,81.2842,56.0013,60.5534,84.1052,57.0714,80.4306,40.5995,186.934,203.756,240.573,179.185,195.47,199.555,189.167,213.031
"475","ENST00000390331.3",0,0,0,0,0,0,0,0,0,0,0,1.00242,0,0,0,0
"549","ENST00000620395.2",25,18,15,17,19,23,10,23,22,13,21,20,16,7,20,16
"622","ENST00000390289.2",88,55,95,65,63,80,75,53,86,79,57,61,70,78,64,49
"623","ENST00000390290.3",46,42,55,56,36,44,64,30,48,59,45,49,51,42,57,44
"832","ENST00000616938.1",220.274,191.227,211.38,224.927,243.322,252.13,177.072,253.148,200.128,213.523,146.302,192.753,215.221,216.171,223.036,201.738
"889","ENST00000549056.1",0,0,0,1.55439,0.26284,0,0,0.819336,1.78243,1.41888,1.19577,0,0,0.00170188,3.24382,0
"1119","ENST00000216252.3",167.075,183.994,229.463,164.96,185.051,199.855,228.406,196.683,245.325,188.223,204.085,221.004,198.798,199.855,187.166,183.994
"1121","ENST00000491254.1",28.9254,20.0065,18.5368,15.0403,28.9491,16.145,17.5943,25.3173,26.6753,25.7768,23.9152,23.9963,30.2024,25.145,18.8342,28.0065
"1133","ENST00000361534.6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1337","ENST00000376085.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1360","ENST00000358502.9",447.269,648.542,555.163,422.046,690.865,529.298,406.303,466.288,504.459,600.358,501.08,546.53,565.079,627.048,518.644,532.668
"1361","ENST00000249066.10",514.527,425.706,554.545,493.686,392.035,562.531,559.775,516.843,502.551,493.219,460.285,421.262,479.656,437.8,459.872,412.377
"1362","ENST00000451256.6",0,0,0,0,0,0,6.43964e-07,0,0,0,0,0,19.3964,0,0,0
"1363","ENST00000529194.5",36.204,33.7521,51.2903,51.2674,35.1003,29.171,40.9221,40.869,33.9903,39.1534,58.8026,32.4544,25.8688,3.33503,26.102,33.9545
"1364","ENST00000454728.5",0,0,0,0,0,0,0,0,0,3.26949,0,0,0,0,0,0
"1519","ENST00000215912.9",468.169,478.11,517.821,637.166,458.059,509.534,512.853,662.551,482.022,652.399,583.28,689.649,507.16,598.166,604.779,473.876
"1520","ENST00000480654.5",3.64304,4.01911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1523","ENST00000443175.1",4.20738,0,0,0,2.65715e-08,0,0,0,0,0,0,1.61016,0,0,0,0
"1524","ENST00000441972.5",467.295,510.218,396.179,343.834,509.941,474.466,482.147,396.449,2076.98,2141.6,2268.72,1996.74,2115.84,2166.83,1981.22,2236.12
"1548","ENST00000266269.9",532.178,802.97,589.767,743.912,788.939,675.347,700.186,718.384,3338.92,3017.52,2928.98,3147.68,3047.3,3071.14,2858.48,2972.54
"1549","ENST00000405309.7",891.818,783.682,1019.37,647.94,687.728,847.832,620.444,716.299,585.627,881.229,928.232,578.88,731.273,667.708,879.411,808.353
"1550","ENST00000351933.8",882.033,789.222,514.528,856.066,879.041,962.561,1009.01,918.718,3499,3445.81,3234.26,3572.56,3436.62,3658.15,3252.17,3503.13
"1551","ENST00000494109.1",0,0,0,0,0,0,0,0,1.30679,0,0,0,1.31567,0,0,0
"1552","ENST00000465287.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2.74838,0,0
"1553","ENST00000215919.3",513.97,534.125,541.333,469.081,594.293,566.26,523.359,594.598,2415.15,2557.43,2539.52,2545.88,2542.49,2646.25,2556.94,2566.98
"1611","ENST00000460357.1",1,0,1,0,0,2,1,3,2,2,2,1,1,0,2,2
"1648","ENST00000371532.5",0,0,0,0,1.13213,1.13213,1.13213,2.26426,0,1.13213,0.00334899,0,0,0,0,0
"1651","ENST00000476110.1",3.48392,4.88964,1.62356,1.86986,1.63862,2.05746,3.66749,4.78603,1.88921,3.47792,2.00945,0,3.20171,2.83868,8.3657,3.35786
"1652","ENST00000216225.8",159.516,225.11,183.376,187.13,158.361,173.943,167.333,195.214,197.111,207.522,183.991,209,167.798,197.161,205.634,204.642
"1801","ENST00000263253.8",1768.34,1605.52,1706.62,1609.65,1603.2,1692.31,1692.19,1711.9,1667.33,1660.59,1718.36,1757.01,1526.65,1537.74,1561.49,1719.24
"1804","ENST00000634860.1",23.1028,41.2238,22.2858,54.1447,47.2682,48.56,29.5625,34.1846,33.0389,31.1681,24.0608,34.3198,22.7356,41.5231,37.0677,34.0438
"1805","ENST00000634690.1",32.4342,0,0.626199,22.311,15.0926,16.692,23.6836,10.1559,27.8444,6.7466,11.1222,11.2442,7.67322,38.2249,9.13055,25.3065
"1806","ENST00000634728.1",17.8959,13.866,12.1517,13.866,16.8458,3.70378,7.75175,6.62029,10.77,21.8929,19.8808,26.2065,14.1828,12.2856,12.0898,7.90424
"1807","ENST00000635538.1",0,0,1.71683,0,0,0,0,0,0,0,0,0,0,0,0,0
"1808","ENST00000634422.1",0,0,0,0,0,1.88737,0,0,0,0,0,0,0,0,0,0
"1809","ENST00000635691.1",5.02642,5.69408,21.0376,21.6265,21.7321,6.27199,24.2741,12.9511,26.6813,16.7918,26.8453,20.2119,13.9863,17.8046,9.41544,13.8307
"1811","ENST00000635584.1",29.1359,43.2794,14.0855,47.1491,18.3527,38.5375,26.5415,39.9188,25.3267,35.5397,28.7147,30.4936,37.771,38.4207,41.6703,23.6867
"1812","ENST00000635083.1",6.06938,3.41599,15.475,20.2551,3.50636,7.03272,0,4.26926,3.00655,16.2693,3.01751,7.51073,0,0,25.1322,10.983
"1841","ENST00000614261.4",19,25,33,19,20,22,31,21,28,15,24,19,15,32,14,23
"2030","ENST00000440343.5",4.93488,5.46643,0.00269951,6.40334,7.53804,3.4212,6.77027,8.41698,8.76721,10.4903,5.65722,3.69512,8.55771,1.62991,5.54328,12.1052
"2031","ENST00000415785.5",0,0,0,0,0,0,0,0,2.69089,0,0,0,0,0,0,0
"2032","ENST00000420804.5",40.2348,11.6487,39.0825,29.5018,5.80254e-05,41.2345,26.1137,1.74953e-06,17.3589,8.47046,13.4003,25.1328,13.7522,21.8224,0.217969,27.6931
"2034","ENST00000407236.5",2880.07,1402.42,2381.66,2622.91,1884.79,1716.97,2317.83,1784.56,1335.33,1249.14,1208.91,2316.44,1426.14,1963.5,1535.2,1430.48
"2039","ENST00000402126.1",0,8.65545,14.9996,39.3633,17.5762,40.8034,0,60.1609,57.0633,10.8767,0.0487645,25.0479,5.68594,22.6176,77.2819,0.878505
"2041","ENST00000262735.9",1118.76,2467.81,1478.25,1253.83,2208.09,2046.57,1482.29,1928.87,2585.79,2602.02,2691.98,1597.68,2501.86,1957.43,2325.76,2421.84
"2159","ENST00000373542.8",0,0,0,0,0,9.73119e-07,0,0,0,0,0,0,0,0,0,0
"2163","ENST00000541944.5",0,0,0,0,0,0.999999,0,0,0,0,0,0,0,0,0,0
"2330","ENST00000553024.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2412","ENST00000404583.5",187.126,197.514,249.631,210.515,188.335,164.336,195.667,212.089,136.748,197.992,171.021,206.524,213.851,146.722,223.034,260.671
"2413","ENST00000314567.7",17.8637,10.4772,0,11.3929,9.64705,0,0,10.0741,9.783,10.0472,9.21815,10.5921,0,10.5884,0,10.4931
"2414","ENST00000381037.4",23.8725,25.1622,34.1407,8.47248,16.5715,43.4384,8.13102,24.8208,0.331111,0.426915,40.2959,9.36868,46.5681,37.1528,31.9922,25.0089
"2415","ENST00000404744.1",0,11.0642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2416","ENST00000475605.1",26.7658,29.8541,20.5317,16.2739,34.2425,44.0332,25.1794,32.1068,31.3637,16.7235,2.13223,11.2558,33.4978,49.0693,34.7775,27.3984
"2417","ENST00000474256.1",39.3725,48.9278,54.697,43.3455,55.2038,66.192,34.023,62.9097,52.7741,37.81,36.3323,48.2597,60.0832,43.4671,31.1964,45.4285
"2476","ENST00000413817.7",81.4233,55.8243,56.8831,65.0887,72.8694,68.7645,81.2431,64.3807,37.6974,96.1966,58.3585,51.9573,96.4095,62.9793,61.881,58.248
"2477","ENST00000495607.5",257.825,185.838,200.705,230.645,277.035,261.926,204.324,273.109,224.348,250.969,242.106,302.059,224.816,252.799,277.077,256.509
"2478","ENST00000471942.6",133.752,93.3372,109.412,131.266,127.889,107.31,99.4329,121.51,97.9545,104.834,133.535,112.984,112.775,109.222,90.0418,115.243
"2479","ENST00000433760.1",0,0,0,0,7.20707,0,0,0,0,0,0,0,0,0,0,0
"2547","ENST00000278550.11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2557","ENST00000531583.1",0,0,0,0,0.0329457,0,0,0,0,0,0,0,0,0,0,0
"2814","ENST00000253255.6",1416,1624,1475,1598,1594,1548,1548,1536,1529,1580,1426,1540,1428,1458,1566,1533
"2815","ENST00000396398.7",704.742,697.22,700.933,719.641,732.886,695.178,642.839,659.761,684.131,783.888,845.216,603.43,888.325,672.57,712.175,689.334
"2816","ENST00000403363.5",16.1368,68.765,11.9762,19.3067,40.7293,32.708,72.0455,69.2332,6.86678,0,16.7263,39.5157,8.4146,57.9894,46.7896,2.34997e-07
"2817","ENST00000402937.1",0.107019,0.00069487,0.0486315,4.44516e-05,0.384595,0.00921169,0.0849716,0.00565555,0.00201497,0,0.00226647,0.000342205,0.169345,0.269914,4.35213e-05,55.6663
"2909","ENST00000412113.5",17.5589,9.12839,7.89281,17.7371,16.5995,8.1613,10.4578,17.3032,25.5561,8.15625,17.2078,12.0306,5.59039,16.2067,19.7295,18.8176
"2911","ENST00000436265.5",3.51285,3.49223,10.4709,13.4256,0,12.9953,6.91062,4.81729,3.70956,15.7121,8.10517,11.6543,5.5761,13.7684,4.39071,0
"2912","ENST00000475341.5",14.3377,27.8963,2.35007,24.5649,18.6571,15.5742,12.2247,10.9274,3.49412,0.000118494,8.22718,6.2674,9.9146,31.4004,10.2919,8.32565
"2913","ENST00000328823.13",430.109,388.498,451.815,477.049,374.743,470.374,428.438,387.172,479.24,405.546,497.107,489.102,338.01,529.795,464.326,479.313
"2915","ENST00000445185.1",4.4959,0,5.51322,4.27528,0,0,0,6.78062,0,12.6969,3.4076,0,0,0,6.29778,1.54373
"3052","ENST00000646454.1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"3248","ENST00000413199.1",3.2788,2.86997,3.43633,7.72858,6.74558,0.754843,2.49695,5.57633,3,1.69664,0.736428,0.462193,0,2,6,2.71671
"3304","ENST00000381031.7",504,460.325,435.897,489.409,551.588,562.62,579,548.579,577.663,547,533.536,527.358,426.227,425.224,472.36,482.389
"3307","ENST00000422713.1",0,0,5.10269,0,0,0,0,0,0,0,0,0,0,0,0,0
"3308","ENST00000451998.1",0,0,0,0,0,0,0,0,0,0,0,4.64237,0,0,0,0
"3309","ENST00000629918.1",0,1.67473,0,0.590999,0.411987,3.38023,0,0.420649,1.33692,0,1.46396,0,1.7729,1.77579,2.64008,0.61121
"3405","ENST00000382151.6",435.937,0.0667525,259.606,349.845,249.885,256.62,418.745,179.775,372.744,74.4016,129.839,180.843,0.000124973,380.891,304.642,165.316
"3407","ENST00000437808.5",0,0,0.000122356,0,0,0,0,0,0,0,0,7.17658e-08,0,0,0,0
"3408","ENST00000473770.5",0,0,0,0,0,0,0,0,0,0,12.2486,0,0,0,0,0
"3409","ENST00000397500.5",8.65763,23.9908,39.5998,0,0,0.0257194,1.99043,0.002269,52.799,3.18123e-08,24.9007,1.0601e-06,0,30.7985,0.189059,0.000666088
"3413","ENST00000478893.5",0,0,4.84953,0,0,0,0,0,0,0,0,0,0,0,0,0
"3414","ENST00000491342.1",47.6772,42.298,35.58,24.8514,20.4409,24.6695,33.2324,31.5096,45.6385,48.6442,34.403,37.0642,28.7654,40.8423,18.2802,20.743
"3417","ENST00000431201.5",41.1239,24.6152,8.7977,22.8254,31.1536,52.8329,37.9154,45.3307,45.7682,50.3452,34.5154,39.0215,21.4503,25.4471,33.5487,27.9633
"3421","ENST00000266095.9",124.604,474.029,147.567,87.4786,194.521,202.852,4.11719,182.383,0.0507412,389.609,310.093,276.072,473.784,0.0213669,135.34,314.977
"3463","ENST00000412438.5",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"3477","ENST00000547836.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"3603","ENST00000344710.9",726.214,659.434,628.509,672.068,644.576,613.484,742.706,766.554,744.135,662.347,656.206,628.345,677.478,750.685,690.858,682.16
"3605","ENST00000397525.5",528.874,290.672,342.389,398.047,371.03,199.622,366.796,430.855,321.767,436.016,494.728,328.622,413.4,437.326,315.9,262.29
"3606","ENST00000330125.9",817.52,998.587,915.615,730.373,870.688,1117.8,783.826,835.048,693.227,857,887.507,848.642,865.042,876.697,1032.29,916.572
"3607","ENST00000397523.5",0,2.27305e-05,0,8.60071e-06,4.26951e-08,1.47827e-05,0.00162223,3.81292e-05,0,7.29225e-07,0,0,0,7.19747e-08,0.000344255,0
"3608","ENST00000445424.5",0,8.89216,0,36.7838,13.7474,0.00358345,29.6591,3.14149e-05,0.0589398,0,0,2.87199,0,0,8.10756,66.2503
"3610","ENST00000487671.1",0,0,0,0,4.13161,0,0,0,0,0,0,0,0,29.081,0,0
"3611","ENST00000418321.1",34.1502,79.366,35.0171,26.8975,56.1895,61.1692,28.3239,85.8388,62.6462,15.6119,52.0422,61.895,52.9223,65.9666,20.4181,26.1708
"3612","ENST00000423097.5",0,0.0194146,0,51.2932,1.23313,27.0562,7.73316,4.48617,0,7.97353e-07,0,22.7295,0.16415,0,0.000132711,12.6002
"3613","ENST00000397518.5",59.2425,43.0287,59.47,45.5381,67.405,69.8669,75.9544,71.218,66.1659,64.0249,76.5176,66.8945,48.9928,68.244,69.4307,81.956
"3843","ENST00000331457.8",648.366,692.526,642.829,622.282,701.535,690.33,625.218,730.888,284.339,228.953,187.859,208.1,155.571,208.406,217.212,217.212
"3844","ENST00000416465.5",0,0,0,0,0,0,0,0,2.33644,0,0,0,0,4.02078e-06,0,0
"3845","ENST00000433341.5",99.1564,124.978,113.781,100.909,98.7078,141.848,114.651,119.705,21.4355,18.3699,21.16,30.7222,49.1959,37.456,14.7646,37.5919
"3846","ENST00000486584.1",61.7329,66.4925,75.1777,47.7222,66.3295,72.1902,53.8845,76.3713,22.1832,21.136,32.691,14.5706,23.7119,14.7224,26.1256,20.2983
"3847","ENST00000469673.1",118.566,152.094,165.96,171.709,150.737,204.587,152.01,153.85,31.4523,46.1192,38.3275,59.2671,59.543,53.1378,39.4834,53.7323
"3848","ENST00000548143.1",36.293,32.5286,48.007,32.3017,33.221,29.1857,33.3366,32.8188,10.4885,30.9115,28.4919,19.8095,5.84692,11.5407,14.7997,9.26328
"3849","ENST00000629688.1",53.0217,61.0754,70.6635,89.5895,79.3902,76.7622,58.7774,66.7591,55.2279,76.3937,78.6909,75.4891,71.3684,93.3055,73.6073,63.5546
"3895","ENST00000373842.8",0.5,0.962333,0.962333,0,0,0,0,0.962333,0.962333,0.5,0.962333,0,0.962333,1,0,0
"3904","ENST00000473716.5",0,1,1,3,0,0,1,0,0,1,2,0,2,1,2,4
"3924","ENST00000432498.5",927.229,765.681,1203.28,1156.41,925.537,1085.07,961.828,833.355,930.734,937.072,1079.05,743.914,983.097,1053.99,1096.45,970.865
"3925","ENST00000443011.5",414.901,548.287,520.801,568.708,448.906,355.209,527.549,565.964,604.627,596.047,471.054,609.678,461.394,358.403,531.29,568.457
"3926","ENST00000465437.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1362
"3928","ENST00000400289.5",727.191,687.305,693.996,689.455,710.743,814.628,679.968,714.202,667.194,663.436,995.143,704.875,871.47,926.671,544.175,708.024
"3929","ENST00000444859.5",0,0,0,0,0,0,0,0,1.84486,0,0,0,1.6404,0,0,0
"3930","ENST00000400288.6",0,0,0,0,0,0,0,0,0,8.67722e-08,0,0,0,0,0,0
"3931","ENST00000382162.7",0,0,0,2.99649,0,0,0,0,2.9541,0,0,0,0,0,0,0
"3932","ENST00000524296.5",13.1343,0,0,0,0,0,0,9.23913,0,13.8813,0,0,0,0,0,0
"3933","ENST00000450787.1",60.474,69.4019,65.0019,69.3867,54.6943,55.9492,64.4095,94.7912,73.2424,83.3209,45.5391,60.717,47.6336,52.5957,94.1957,87.1628
"3936","ENST00000484806.1",111.611,135.942,117.068,89.9273,87.293,93.9131,107.392,94.0407,64.8807,110.403,86.921,101.425,117.28,85.1614,65.6335,94.9521
"3937","ENST00000452250.5",145.341,124.153,167.582,67.2055,180.215,145.027,113.869,76.7166,198.994,98.9958,43.4238,131.545,184.895,86.0305,194.921,151.418
"3938","ENST00000478887.1",0,0,0,0,1.34461,0,0,0,0,0,0,0,0,0,0,0
"3939","ENST00000467357.1",0,4.52962,0,0,0,5.77455,0,0.89968,11.1643,0,0,7.20587,0,0,5.06294,0
"3940","ENST00000417682.6",2.78295e-07,17.9733,128.844,110.653,149.768,76.0535,132.704,45.8196,77.8466,175.183,100.586,76.1493,106.486,75.2739,8.05781,0.437772
"3941","ENST00000425671.1",0,0,0,0,0,0,0,0,0,0,0,0,1.08339,0,0,0
"3942","ENST00000488883.5",2.19353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3943","ENST00000466991.5",42.2776,64.0269,29.9673,27.5009,13.2643,34.7978,15.4777,8.714,4.90424,37.1705,3.16561,45.4291,2.78313,67.5432,64.459,16.7097
"3945","ENST00000463436.1",0,0,0,0,0,0,0,0,0,0,1.01005,0,0,0,0,0
"3946","ENST00000495107.1",0,0,0,0,0,0,0,0,0,2.14757,0,0,0,0,0,0
"3947","ENST00000474741.5",14.1306,41.9441,0,38.6121,26.6913,11.7864,0,22.6045,29.3634,57.6832,6.36702,29.0933,10.7121,0.538403,11.107,4.12539e-08
"3948","ENST00000476577.5",0,0,2.26721,0,0,0,0,0,0,0,0,0,0,0,0,0
"3949","ENST00000464333.5",0,0,0,0,0,0,1.19611,0,0,0,0,0,0,0,0,0
"3950","ENST00000357852.3",0,0,2.0948,0,0,0,0,0,0,0,0,0,0,0,2.09212,0
"3951","ENST00000540643.5",1563.26,1477.06,1208.68,1461.63,1673.62,1292.89,1579.73,1549.26,1426.79,1474.78,1305.52,1500.91,1375.29,1497.22,1405.56,1454.18
"4391","ENST00000453700.7",11,11,15,20,12,14,4,7,14,13,11,9,8,7,9,6
"4615","ENST00000495526.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4634","ENST00000602469.1",0,0,0,0,0,0,0,0,0,1.0013,0,0,0,0,0,0
"4637","ENST00000373839.7",0,0,1.00113,0,0,0,0,1,0,0,0,0,0,0,0,0
"5040","ENST00000613247.4",0.00995318,2.47064e-08,8.37903e-05,3.0113e-07,1.79507e-05,0,3.49548e-07,0.000996701,1.22643e-07,53.5962,0,9.43349e-07,0,44.2781,7.39955e-08,67.6017
"5041","ENST00000352371.5",706.635,711.686,694.843,658.959,615.773,696.835,664.558,621.832,715.818,572.325,678.987,606.53,651.463,635.428,696.228,631.851
"5042","ENST00000616056.4",712.897,539.888,563.972,622.22,745.227,642.165,656.44,728.66,718.182,718.946,629.632,658.932,578.162,703.701,570.226,723.531
"5043","ENST00000332987.5",0,0,0,0,0,0,0,6.49791,0,0,0,0,0,0,0,0
"5044","ENST00000449084.2",0,0,0,2.33112,1.90917e-05,0,0,0,0,0,10.5434,19.3081,13.9319,0,0,0
"5046","ENST00000457630.6",24.0863,20.4261,7.42058,0,0,0,3.03855e-06,3.62111,0,0,0,0.0340967,0,0,0,15.0149
"5047","ENST00000419360.5",3.37217,3.69003e-08,0.763696,1.48989,0,0,0.00194855,0.000526611,0,2.13253,0,0.678654,0,16.5928,10.5837,0
"5049","ENST00000436763.1",0,0,0,0,0,2.85064e-06,0,7.97178,0,0,0.836764,0.763035,12.4433,0,1.96255,0
"5050","ENST00000480236.2",0,0,0,0,0,0,0,0.415724,0,0,0,0,0,0,0,0
"5062","ENST00000216237.9",657.157,572.403,632.186,590.769,680.817,675.745,648.707,665.376,522.812,648.912,649.055,701.237,658.901,607.257,658.126,519.085
"5065","ENST00000466589.5",0,0,0,0,0,0,0,0,0,5.35113,0,0,0,0,0,0
"5066","ENST00000453659.1",0,0,0,0,1.76147,0,0,0,0,0,1.29464,0,0,0,0,0
"5067","ENST00000479978.5",0,0,0,0,0,0,0,0,0,0,0,2.02456,0,0,0,0
"5068","ENST00000452106.5",0,0,0,0,1.45663e-08,0,1.14541e-08,1.46089e-05,0,0,0,0,0,0,0,0
"5069","ENST00000449635.5",0,0,0,0,0,0,0,0,0,0,0,0,7.62746e-08,0,0,0
"5070","ENST00000450939.1",24.6756,20.0629,20.3878,15.8619,0,19.4237,16.6086,37.7954,13.407,7.23249,11.2343,2.34145,32.2767,14.0902,18.454,10.2596
"5102","ENST00000304177.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04397
"5144","ENST00000321753.7",520.87,430,517,462.911,346.893,586.933,453.63,484,460.591,547,450.149,433,510,446,484.954,480.314
"5145","ENST00000419475.1",0.130108,0,0,11.089,15.1068,0.0671786,8.37041,0,7.40934,0,12.8509,0,0,0,8.04561,6.68632
"5161","ENST00000616632.4",0,0,0,0,0,0,0,0,0,0,0,0,0.59288,0,0,0
"5188","ENST00000481894.1",0,0,1,0,0,0,0,0,0,1.00025,0,0,0,0,0,0
"5281","ENST00000417999.5",43.3716,6.23978e-06,6.6387e-06,0.00493628,0.0471509,0.0159877,0,0.0126676,0,0.32818,0.000345722,34.8417,3.39054,50.4131,0.0126593,0
"5282","ENST00000216241.13",477.128,440.759,458.635,410.946,495.89,452.705,415.218,551.785,460.379,632.086,463.769,463.021,434.802,439.107,609.165,506.541
"5283","ENST00000455425.1",10.6672,35.7749,28.791,17.4181,2.48444,24.1105,31.4667,41.0305,47.4024,32.09,31.6469,18.5337,29.6295,32.1327,24.2431,13.1151
"5485","ENST00000422252.1",2.11341,0,0,0,0,1.4111,0,2.19011,1.54379,0,2.20183,1.25787,0,0,0,0
"5486","ENST00000331479.3",67.2169,63.3075,72.8365,77.8225,68.8963,60.0892,69.0824,62.757,59.4073,82.7176,83.2314,64.075,67.9448,76.0196,93.0871,64.7779
"5565","ENST00000454366.1",640,550,634,575,589,657,632,607,611,598,661,668,653,579,564,574
"5651","ENST00000360124.9",57.5815,0,0,33.1265,0,0.117748,4.31951,0,0.00167388,0.510225,2.61628,0,0,2.53061e-06,0,0.271789
"5652","ENST00000645361.1",167.67,318.618,252.669,175.303,320.234,279.654,166.53,167.324,135.178,194.105,74.0196,237.236,293.205,275.298,190.072,0.428698
"5653","ENST00000645508.1",146.238,78.1184,58.9672,145.071,92.6794,89.4929,163.683,145.28,260.117,86.9053,172.244,138.227,62.0757,10.0042,188.842,324.836
"5654","ENST00000360608.9",3.55655e-06,4.24453e-07,2.38206e-07,8.98735,6.14141e-06,9.17698e-07,44.3612,1.37396e-05,4.40049e-06,3.11876e-07,6.24094e-07,1.54676e-06,4.00408e-08,35.7957,2.24636e-06,1.94677e-07
"5655","ENST00000488442.1",0,0,0,0,0,0,2.62189,0,0,0,0,0,0,0,0,0
"5656","ENST00000359033.4",254.475,290.484,347.928,262.193,171.907,254.518,263.4,292.011,217.434,280.497,326.526,227.566,281.171,300.354,283.215,257.486
"5694","ENST00000464663.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5828","ENST00000336418.8",0,0,1.5694,0,0,0,0,0,0,0,0,0,0,0,0,0
"5963","ENST00000602404.5",51.7282,43.0615,25.5386,26.8557,33.8625,57.0283,44.2822,40.8517,39.0182,48.8824,33.7055,37.9711,33.07,60.6575,47.4488,34.6968
"5965","ENST00000470753.1",0,0,0,0,0,0,0.62336,0,0.305384,0,0,0,0,0,0.000200366,0
"5966","ENST00000617763.1",108.816,108.816,165.384,128.433,134.412,103.915,94.0366,112.278,151.418,65.3528,117.883,110.087,125.79,64.0275,68.6526,58.9097
"5979","ENST00000412698.2",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"6056","ENST00000569878.5",1,0,0,1.0003,0,0,1,2,0,1.00724,0,1.00031,0,2,2,1
"6191","ENST00000359139.7",937.269,1035.93,1043.89,1262.05,1035.64,969.292,808.865,1177.76,916.575,1315.53,1160.79,1308.3,1108.83,1041.97,1034.3,1200.2
"6192","ENST00000395741.7",570.218,507.15,594.225,683.764,463.537,473.651,714.548,618.861,556.814,574.719,467.439,502.734,646.323,439.465,628.278,561.354
"6193","ENST00000395744.7",83.2918,145.758,0.00946421,0.142985,0.291494,1.11569,2.01213,0.27644,0.000295177,0.150551,203.311,1.34846,6.16953e-06,48.3697,0.0875951,2.84326e-07
"6194","ENST00000216061.9",0,0,0,6.33368,0,0,0,0,0,0,0,0,0,0,0,6.12851
